"nvmax","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
51,0.30940744156641,0.826016565065132,0.234827929987498,0.010232124622845,0.0119490165505011,0.00752537444543542
52,0.308367046383778,0.827196452839942,0.234009566466441,0.0100895269281189,0.0115719296892612,0.00755225017485108
53,0.308142505845739,0.827436766988785,0.233880112552752,0.010081230606665,0.0116837395030123,0.00754749038767986
54,0.307366047997117,0.828315691066673,0.233317429518954,0.0101396715636518,0.0112992819749441,0.00777453677668744
55,0.307144581928658,0.82855147550761,0.233073124988663,0.0101000624909584,0.0112873094442714,0.00775346697172588
56,0.306755015503661,0.82898115727024,0.232814244722722,0.01011497497886,0.0113716890492735,0.00764285702969792
57,0.306152380282965,0.829609773942511,0.232373044655591,0.0101789814056224,0.0120612328138727,0.00752952247525419
58,0.305728039239106,0.830091566670513,0.231971407026692,0.00991906599953096,0.0117662203988064,0.00724341326806752
59,0.305457116786624,0.830398044939508,0.231825793638815,0.00982916164205772,0.0116085144177776,0.00698650470685087
60,0.305124951853356,0.830762377913923,0.231647046266806,0.00997263486333948,0.0117482436913391,0.00707480967773636
61,0.304958447417063,0.830938564749218,0.231513834216591,0.0100894424412047,0.0118360341917827,0.00713454106341148
62,0.304219527469443,0.831745907023201,0.231020355786143,0.00974558781811325,0.0116739219954708,0.00709622471902571
63,0.303931838708282,0.832083146580994,0.230694091954902,0.0100445479438045,0.0115737421060268,0.0073043956278345
64,0.303416134179049,0.832638461281523,0.230348486599066,0.00991311174077942,0.0116631052675378,0.00707478321728127
65,0.30300920778339,0.833089941661037,0.229931918069163,0.00987719277367476,0.0114739802567798,0.00723836652203351
66,0.302552708229035,0.833591631919461,0.229484872881923,0.00979384534196299,0.0114852716086027,0.00707888516266568
67,0.301815322733705,0.834388599631373,0.22905403229224,0.00975774685980469,0.0113670648688772,0.00702448326028009
68,0.301493884218447,0.834741860116707,0.228764618493848,0.0096544503067153,0.0113969510548863,0.00700865080030046
69,0.300726893689575,0.835579258764737,0.228277934018722,0.00985460727286047,0.0115405823917385,0.00696595635451966
70,0.300098418238337,0.836274581979522,0.227853289148923,0.00996711037528094,0.0115966836250643,0.00696267359331934
71,0.299663547219836,0.836755755929746,0.227511667627905,0.00993786832825957,0.0114542189858756,0.0068978669431362
72,0.299103223493022,0.837374411984254,0.227103613675983,0.00989973235039008,0.0113431797235449,0.00676868383242767
73,0.298489035468822,0.83804135377588,0.226703190795205,0.00984919681719507,0.0112602751205356,0.0065753040438768
74,0.297610291992822,0.838978659127157,0.22616676719821,0.0100370949920896,0.0114922619284532,0.00672129285059278
75,0.29709123702056,0.839563356611493,0.225784642987997,0.00988404583293702,0.0111733778197765,0.00656713290135478
76,0.296679753324073,0.840008141721014,0.225518185951581,0.00983675636037337,0.0111508619801448,0.0065306572649095
77,0.296380146957252,0.840343499962498,0.225362245517528,0.0100557452148836,0.0112514432107351,0.0065293035209971
78,0.296082488669905,0.840648535116574,0.225170718456053,0.00995823864674661,0.0114126920508496,0.00644635443464243
79,0.295721238749933,0.841039220096509,0.224911030924119,0.0100800746565316,0.0113605412456923,0.00642482978765994
80,0.295343335011531,0.841446965754967,0.224603510949592,0.00994602164282206,0.0112100232064362,0.00623379743877933
81,0.294983991238802,0.841833485261525,0.224449050506979,0.0102787809845314,0.0113458588568282,0.00644950104617291
82,0.294573206241726,0.842274487796353,0.224132440966039,0.0103271058138464,0.0113239953610764,0.00647704353348635
83,0.293959064424943,0.842948137436718,0.223688750271177,0.0100639616754289,0.0111832742399413,0.00635219013989391
84,0.293433274870182,0.843502808252634,0.223379839105027,0.00996665278757013,0.0112061869800744,0.00632232238422194
