"nvmax","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
60,0.301526904607788,0.834750170594493,0.228599912856225,0.010162630998374,0.0115673693149671,0.0069490748636406
61,0.300751558807155,0.835590630703376,0.228064552959126,0.00959970776206198,0.0112372723460916,0.00657353897200134
62,0.300524641683586,0.835838100104335,0.227908153368119,0.00966547992819192,0.0112446760389809,0.00656335562409404
63,0.300150980331512,0.836237091918528,0.227635065448721,0.00946726500537236,0.0112772798651764,0.00642507281616098
64,0.300037611747375,0.836362450744474,0.227539117916374,0.00933787470899852,0.0112395095694452,0.00630909594408204
65,0.299763091029327,0.836659211785011,0.227309783377292,0.00925267300684833,0.0113269795309501,0.0062339902604146
66,0.299354354786764,0.837102908509883,0.227039278384937,0.00906413915819281,0.0109684635078699,0.00608844532489969
67,0.29893201391159,0.837555965173992,0.226742352191751,0.00924382390213125,0.0111983253599201,0.00610105665127417
68,0.298368615114887,0.838176475117626,0.226280527876053,0.00895488935497961,0.0109349810656198,0.00577407612769484
69,0.297921674813159,0.838640903694264,0.226005796065139,0.00896942587818884,0.0111265639363267,0.00588267817996444
70,0.297490153026034,0.839100651454439,0.225718164545819,0.0090415655256354,0.0112810058908702,0.0060513252969026
71,0.29713210369515,0.839478144984789,0.225413606600222,0.00937316509851073,0.0114566937422541,0.00624373500907668
72,0.296539087303113,0.840100049387526,0.224974038298657,0.00950445659665974,0.0118125645679046,0.00635449243111569
73,0.296050512373919,0.840614459203155,0.224573794445208,0.00984450429732393,0.0121025253718417,0.00663300401634812
74,0.295362965455601,0.841351596470353,0.224073347306295,0.00981032007040162,0.0123361515134879,0.00677252766959126
75,0.294304695982811,0.84252005520857,0.223245680254619,0.00965409338513872,0.0116735702436771,0.00668255210660362
76,0.293277947061588,0.843629559537062,0.222493021976278,0.00947465457348341,0.0113527514464044,0.00639621707073167
77,0.292786163111902,0.844160202506288,0.222029900200343,0.00934211689753787,0.0110958038136986,0.00630901842642081
78,0.292453202018193,0.844523107678058,0.221808748141052,0.00895540958581571,0.01081455514533,0.00591778191591546
79,0.291949495534587,0.8450436399581,0.221455649540736,0.00891315829327377,0.0108948869485221,0.00576781962157108
80,0.291389877375805,0.845649058151341,0.221031243190995,0.00907132115410078,0.0109321101565727,0.00582297546435732
81,0.290808596023182,0.846257554200289,0.220589932988284,0.00911172799961199,0.0108608954817399,0.00586659030505933
82,0.290525437760081,0.846562820862717,0.220437490261839,0.00905731278816382,0.0107711944304525,0.00586810550442407
83,0.290148944474165,0.846966474581622,0.220203519807744,0.00882235084615293,0.0106923087113291,0.00573646337940498
84,0.289772863632947,0.8473539893913,0.220003517953159,0.00895045481144349,0.0107800927996104,0.00580797040867849
85,0.28927657591707,0.847877415890482,0.219688386686728,0.00902993470440495,0.0107731648003364,0.00577037944627621
86,0.288945243082556,0.848216808219027,0.219409542152359,0.00913070725419522,0.0109130298612834,0.00583632983964333
87,0.28866486602391,0.848509089653731,0.219271953790641,0.00932953799967108,0.0109870346106324,0.00595401451307588
88,0.288221069649658,0.848965674428835,0.219002395290788,0.00962142173002731,0.011225053271446,0.00611662612797249
89,0.287585583758903,0.849652145930224,0.218662447170577,0.009380122846485,0.01064085703244,0.005967866780282
90,0.286856937307567,0.850369845519787,0.218172133047831,0.00949041452758585,0.0112262677622226,0.00616379085946802
91,0.285848789184501,0.851407713802823,0.217416458110325,0.00984416085426295,0.0114516678907418,0.00629652122374942
92,0.285184965046626,0.85210946404909,0.217020266946681,0.00976686262238502,0.0113711257496617,0.00631107611174232
93,0.284462773882485,0.852855493383976,0.21653528367628,0.00933503026623399,0.011165852565327,0.00604494794973053
94,0.283539808204552,0.8537958944859,0.215943526908449,0.00937052551401202,0.0112400775089102,0.00605957070040864
95,0.283125843275898,0.854216915833692,0.215724888218782,0.00920693019783262,0.0111846931123992,0.00597045235146378
96,0.282779558165565,0.854584383275811,0.215426732235693,0.00905310373774399,0.0108923443461247,0.00588157469569018
97,0.282131631951724,0.855258843035105,0.214991153438668,0.0091139990052256,0.0107314966517017,0.00598993381025684
98,0.281698444007339,0.855705848841151,0.214662046592996,0.00896820221871073,0.0106738574546703,0.00575040303672196
99,0.281315943144688,0.856102746237734,0.214335944071185,0.00883728750779704,0.0105682215507539,0.0056404484027949
100,0.280554513402367,0.856880935801012,0.213727930455299,0.00906755338287992,0.0108417141876997,0.00586227134430014
